#Special Line;#Line Number;#Graphic;#Text;#Graphic
71;0;;N0;
71;1;;N1;
71;2;Symbols\DS001_02_DS001a_71.png;;Symbols\12inch\DS001_02_DS001a_71.png
71;3;Symbols\DS001_03_DS001a_71.png;;Symbols\12inch\DS001_03_DS001a_71.png
71;4;;N4;
71;5;;N5;
71;6;Symbols\DS001_06_DS001a_71.png;;Symbols\12inch\DS001_06_DS001a_71.png
71;7;;N7;
71;8;Symbols\DS001_08_DS001a_71.png;;Symbols\12inch\DS001_08_DS001a_71.png
71;9;;N9;
71;10;Symbols\DS001_10_DS001a_71.png;;Symbols\12inch\DS001_10_DS001a_71.png
71;11;Symbols\DS001_11_DS001a_71.png;;Symbols\12inch\DS001_11_DS001a_71.png
71;12;;N12;
71;13;;N13;
71;14;Symbols\DS001_14_DS001a_71.png;;Symbols\12inch\DS001_14_DS001a_71.png
71;15;Symbols\DS001_15_DS001a_71.png;;Symbols\12inch\DS001_15_DS001a_71.png
71;16;Symbols\DS001_16_DS001a_71.png;;Symbols\12inch\DS001_16_DS001a_71.png
71;17;Symbols\DS001_17_DS001a_71.png;;Symbols\12inch\DS001_17_DS001a_71.png
71;18;;N18;
71;19;;N19;
71;20;;N20;
71;21;;N21;
71;22;;N22;
71;23;;N23;
71;24;;N24;
71;25;;N25;
71;26;;N26;
71;27;;N27;
71;28;;N28;
71;29;;N29;
71;30;;N30;
71;31;;N31;
71;32;;N32;
71;33;;N33;
71;34;;N34;
71;35;;N35;
71;36;;N36;
71;37;;N37;
71;38;;N38;
71;39;;N39;
71;40;;N40;
71;41;;N41;
71;42;;N42;
71;43;;N43;
71;44;;N44;
71;45;;N45;
71;46;;N46;
71;47;;N47;
71;48;;N48;
71;49;;N49;
71;50;;N50;
71;51;;N51;
71;52;;N52;
71;53;;N53;
71;54;;N54;
71;55;;N55;
71;56;;N56;
71;57;;N57;
71;58;;N58;
71;59;;N59;
71;60;;N60;
71;61;;N61;
71;62;;N62;
