50;[color=red]Störungsmeldung[/color] Wegen eines;Defektes fährt dieser Bus in die;Garage. Bitte steigen Sie aus.
51;Achtung! Grössere ;Betriebsstörung in der Innenstadt.;Beachten Sie bitte die Durchsagen
52;Wegen einer Veranstaltung ist die Innenstadt;gesperrt.Beachten Sie bitte die Durchsagen.
53;Wegen eines Defektes fährt diesesTram ins;Depot. Bitte steigen Sie aus.
54;Wegen eines Defektes fährt dieser Bus in;die Garage. Bitte steigen Sie aus.
55;Wegen eines Defektes ist im Moment keine;Weiterfahrt möglich. Bitte steigen Sie aus.
56;Veranstaltung St.Jakob:;S-Billett ist für Hin- und Rückfahrt gültig.
57;Achtung vor Taschendieben. Bitte achten;Sie auf Ihre Wertsachen!
58;Wir heissen Sie herzlich willkommen und;wünschen Ihnen eine gute Fahrt.
59;;
60;Bitte Ess- und Trinkverbot beachten.;
61;Wir entschuldigen uns für die Verspätung.;
62;Bitte in den Folgekurs umsteigen.;
63;Veranstaltung. Spezial-Fahrplan beachten.;
64;Achtung Glatteis auf der Haltestelle möglich!;
65;Verspätung durch Verkehrsüberlastung!;
66;;
67;;
68;;
69;;
70;[color=red]Störungsmeldung[/color];Wegen eines Defektes fährt;dieser Bus in die Garage.;Bitte steigen Sie aus.
