1;Symbols\Red1.png;
2;Symbols\Red2.png;
3;Symbols\Red3.png;
4;Symbols\Green4.png;
5;Symbols\Green5.png;
6;Symbols\Green6.png;
7;Symbols\Purple7.png;
G;Symbols\GreenG.png;
L;Symbols\GreyL.png;
S;Symbols\GreyS.png;
B;Symbols\OrangeB.png;
D;Symbols\OrangeD.png;
F;Symbols\OrangeF.png;
M;Symbols\OrangeM.png;
N;Symbols\YellowN.png;
Q;Symbols\YellowQ.png;
R;Symbols\YellowR.png;
SIR;Symbols\SIR.png;
19;Symbols\GreyHandicap.jpg;
A;Symbols\BlueA.png;
C;Symbols\BlueC.png;
E;Symbols\BlueE.png;
J;Symbols\BrownJ.png;
Z;Symbols\BrownZ.png;
